                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.0916,                 1.0797,                 1.1746,                0.72945,                0.59207,                0.67204,                0.46799,                 1.1517,                 1.0583,                  1.178,              0.0005545,              0.0005545,              0.0005545
                     92,                 1.0855,                   1.08,                 1.1747,                0.73131,                0.59176,                0.67216,                0.46816,                 1.1518,                  1.058,                 1.1778,             0.00054955,             0.00054955,             0.00054955
                     93,                 1.0848,                 1.0786,                 1.1757,                0.73021,                 0.5911,                0.67227,                 0.4681,                 1.1518,                 1.0575,                 1.1779,              0.0005446,              0.0005446,              0.0005446
                     94,                 1.0877,                 1.0776,                 1.1767,                0.73089,                0.59155,                0.67242,                0.46846,                 1.1518,                  1.057,                 1.1781,             0.00053965,             0.00053965,             0.00053965
                     95,                  1.083,                 1.0747,                 1.1751,                0.73236,                0.59134,                0.67269,                0.46857,                 1.1516,                 1.0566,                  1.178,              0.0005347,              0.0005347,              0.0005347
                     96,                 1.0766,                 1.0678,                 1.1729,                 0.7316,                0.59214,                0.67285,                0.46876,                 1.1517,                 1.0563,                 1.1782,             0.00052975,             0.00052975,             0.00052975
                     97,                 1.0797,                 1.0624,                 1.1742,                0.73076,                0.59269,                0.67289,                0.46889,                 1.1515,                 1.0556,                 1.1781,              0.0005248,              0.0005248,              0.0005248
                     98,                 1.0723,                 1.0587,                 1.1723,                0.73049,                 0.5928,                  0.673,                0.46895,                 1.1514,                  1.055,                 1.1782,             0.00051985,             0.00051985,             0.00051985
                     99,                 1.0842,                 1.0675,                 1.1747,                 0.7314,                0.59248,                0.67288,                0.46895,                 1.1513,                 1.0545,                 1.1782,              0.0005149,              0.0005149,              0.0005149
                    100,                  1.071,                 1.0593,                 1.1681,                0.73191,                0.59177,                0.67277,                0.46891,                 1.1512,                 1.0541,                 1.1781,             0.00050995,             0.00050995,             0.00050995
                    101,                 1.0772,                 1.0595,                 1.1717,                0.73239,                0.59217,                0.67281,                 0.4692,                 1.1511,                 1.0534,                 1.1781,               0.000505,               0.000505,               0.000505
                    102,                 1.0694,                 1.0559,                 1.1699,                0.73313,                 0.5912,                0.67307,                0.46926,                 1.1509,                  1.053,                  1.178,             0.00050005,             0.00050005,             0.00050005
                    103,                 1.0693,                 1.0391,                 1.1627,                0.73105,                0.59302,                0.67334,                0.46933,                  1.151,                 1.0526,                 1.1781,              0.0004951,              0.0004951,              0.0004951
                    104,                 1.0679,                 1.0479,                 1.1648,                0.72732,                0.59564,                 0.6734,                0.46931,                 1.1507,                 1.0522,                 1.1778,             0.00049015,             0.00049015,             0.00049015
                    105,                  1.076,                 1.0505,                 1.1654,                 0.7294,                0.59369,                0.67338,                0.46928,                 1.1508,                 1.0521,                 1.1779,              0.0004852,              0.0004852,              0.0004852
                    106,                 1.0669,                 1.0439,                 1.1658,                0.72943,                0.59418,                0.67355,                0.46952,                 1.1507,                 1.0518,                 1.1777,             0.00048025,             0.00048025,             0.00048025
                    107,                 1.0705,                 1.0448,                 1.1659,                0.72674,                0.59618,                0.67357,                0.46963,                 1.1507,                 1.0515,                 1.1778,              0.0004753,              0.0004753,              0.0004753
                    108,                  1.074,                 1.0404,                 1.1631,                0.72851,                0.59539,                0.67379,                0.46967,                 1.1507,                  1.051,                 1.1778,             0.00047035,             0.00047035,             0.00047035
                    109,                 1.0648,                 1.0304,                 1.1639,                0.72282,                0.59981,                0.67379,                0.46973,                 1.1507,                 1.0512,                 1.1777,              0.0004654,              0.0004654,              0.0004654
                    110,                 1.0636,                 1.0312,                  1.162,                0.72838,                0.59704,                0.67382,                0.46984,                 1.1505,                 1.0506,                 1.1776,             0.00046045,             0.00046045,             0.00046045
                    111,                 1.0585,                 1.0335,                 1.1548,                0.72618,                0.59826,                0.67371,                0.46973,                 1.1506,                 1.0503,                 1.1777,              0.0004555,              0.0004555,              0.0004555
                    112,                 1.0607,                 1.0285,                 1.1556,                0.72761,                0.59735,                0.67363,                0.46976,                 1.1505,                 1.0501,                 1.1777,             0.00045055,             0.00045055,             0.00045055
                    113,                 1.0561,                 1.0226,                 1.1559,                0.72874,                0.59706,                0.67372,                0.46995,                 1.1503,                 1.0497,                 1.1777,              0.0004456,              0.0004456,              0.0004456
                    114,                 1.0611,                 1.0277,                 1.1596,                0.72618,                0.59953,                0.67398,                0.46986,                 1.1503,                 1.0495,                 1.1777,             0.00044065,             0.00044065,             0.00044065
                    115,                 1.0599,                 1.0314,                 1.1565,                0.72409,                0.60024,                0.67413,                0.46981,                 1.1501,                 1.0495,                 1.1776,              0.0004357,              0.0004357,              0.0004357
                    116,                 1.0587,                 1.0226,                 1.1557,                0.72513,                0.60006,                0.67399,                0.47002,                 1.1501,                 1.0492,                 1.1777,             0.00043075,             0.00043075,             0.00043075
                    117,                 1.0541,                  1.016,                 1.1569,                0.72535,                0.59946,                0.67404,                0.47044,                 1.1498,                 1.0488,                 1.1773,              0.0004258,              0.0004258,              0.0004258
                    118,                  1.059,                 1.0219,                  1.158,                 0.7253,                0.60026,                0.67484,                0.47075,                 1.1496,                 1.0484,                 1.1769,             0.00042085,             0.00042085,             0.00042085
                    119,                 1.0628,                 1.0214,                 1.1586,                0.72536,                0.60004,                0.67473,                0.47077,                 1.1497,                  1.048,                 1.1769,              0.0004159,              0.0004159,              0.0004159
                    120,                 1.0547,                 1.0113,                 1.1525,                0.72573,                0.59947,                0.67466,                0.47076,                 1.1498,                  1.048,                 1.1768,             0.00041095,             0.00041095,             0.00041095
